depth	min95%	max95%	best	accrate
557	11184	11510	11295	34.7
558	11219	11549	11330	34.79
559	11252	11587	11364	34.89
560	11287	11624	11399	34.99
561	11321	11662	11434	35.09
562	11356	11699	11469	35.19
563	11390	11736	11505	35.28
564	11426	11773	11540	35.38
565	11462	11810	11575	35.47
566	11498	11848	11611	35.56
567	11534	11885	11646	35.66
568	11569	11922	11682	35.75
569	11604	11959	11718	35.84
570	11638	11997	11753	35.93
571	11673	12036	11789	36.02
572	11709	12074	11825	36.11
573	11745	12110	11862	36.19
574	11779	12146	11898	36.28
575	11814	12181	11934	36.36
576	11850	12218	11970	36.45
577	11887	12255	12007	36.53
578	11924	12293	12043	36.62
579	11959	12330	12080	36.7
580	11995	12367	12117	36.78
581	12031	12404	12153	36.86
582	12066	12441	12190	36.94
583	12101	12478	12227	37.02
584	12137	12515	12264	37.09
585	12173	12552	12301	37.17
586	12208	12590	12339	37.25
587	12244	12627	12376	37.32
588	12281	12665	12413	37.4
589	12318	12702	12450	37.47
590	12355	12740	12488	37.54
591	12392	12777	12525	37.61
592	12428	12815	12563	37.68
593	12465	12852	12601	37.75
594	12503	12888	12639	37.82
595	12540	12925	12676	37.89
596	12578	12963	12714	37.96
597	12615	13001	12752	38.02
598	12653	13039	12790	38.09
599	12691	13077	12828	38.15
600	12728	13114	12866	38.22
601	12766	13151	12905	38.28
602	12804	13188	12943	38.34
603	12842	13226	12981	38.4
604	12880	13264	13020	38.46
605	12917	13302	13058	38.52
606	12955	13340	13097	38.58
607	12994	13376	13135	38.64
608	13032	13414	13174	38.69
609	13070	13450	13213	38.75
610	13108	13487	13251	38.81
611	13146	13525	13290	38.86
612	13185	13563	13329	38.91
613	13224	13599	13368	38.96
614	13261	13637	13407	39.02
615	13300	13676	13446	39.07
616	13339	13713	13485	39.12
617	13379	13748	13524	39.16
618	13418	13786	13563	39.21
619	13456	13824	13602	39.26
620	13495	13861	13642	39.31
621	13534	13898	13681	39.35
622	13573	13936	13720	39.4
623	13612	13974	13760	39.44
624	13651	14013	13799	39.48
625	13689	14050	13839	39.52
626	13729	14087	13878	39.56
627	13769	14122	13918	39.6
628	13809	14161	13957	39.64
629	13848	14200	13997	39.68
630	13888	14237	14037	39.72
631	13928	14275	14076	39.76
632	13967	14313	14116	39.79
633	14005	14352	14156	39.83
634	14045	14390	14196	39.86
635	14085	14429	14236	39.89
636	14125	14467	14276	39.93
637	14165	14503	14316	39.96
638	14205	14541	14355	39.99
639	14246	14580	14395	40.02
640	14285	14620	14435	40.04
641	14325	14659	14476	40.07
642	14365	14698	14516	40.1
643	14404	14737	14556	40.13
644	14444	14776	14596	40.15
645	14484	14815	14636	40.18
646	14524	14854	14676	40.2
647	14562	14894	14716	40.22
648	14602	14933	14757	40.24
649	14644	14972	14797	40.26
650	14685	15012	14837	40.28
651	14724	15051	14877	40.3
652	14763	15090	14918	40.32
653	14803	15129	14958	40.34
654	14843	15168	14998	40.35
655	14882	15207	15039	40.37
656	14920	15246	15079	40.38
657	14958	15287	15119	40.4
658	14997	15328	15160	40.41
659	15036	15365	15200	40.42
660	15075	15405	15241	40.43
661	15114	15443	15281	40.44
662	15152	15482	15322	40.45
663	15190	15523	15362	40.46
664	15229	15565	15402	40.47
665	15268	15603	15443	40.48
666	15307	15641	15483	40.48
667	15346	15681	15524	40.49
668	15386	15721	15564	40.49
669	15426	15762	15605	40.5
670	15462	15803	15645	40.5
671	15503	15843	15686	40.5
672	15542	15886	15726	40.5
673	15581	15929	15767	NA
