depth	min95%	max95%	best	accrate
602	11586	13435	12506	31.23
603	11603	13475	12537	31.5
604	11622	13515	12568	31.77
605	11641	13556	12600	32.05
606	11661	13596	12632	32.33
607	11682	13636	12664	32.62
608	11704	13675	12697	32.92
609	11726	13715	12730	33.23
610	11750	13754	12763	33.54
611	11774	13793	12797	33.86
612	11799	13832	12831	34.19
613	11825	13870	12865	34.52
614	11852	13909	12899	34.87
615	11880	13947	12934	35.21
616	11909	13985	12969	35.57
617	11939	14022	13005	35.93
618	11970	14060	13041	36.3
619	12002	14099	13077	36.68
620	12035	14138	13114	37.06
621	12070	14177	13151	37.45
622	12105	14215	13188	37.85
623	12140	14254	13226	38.25
624	12176	14292	13264	38.67
625	12212	14330	13303	39.08
626	12251	14368	13342	39.51
627	12291	14405	13382	39.94
628	12331	14442	13422	40.38
629	12373	14478	13462	40.83
630	12415	14514	13503	41.28
631	12459	14552	13544	41.74
632	12503	14589	13586	42.21
633	12550	14626	13628	42.69
634	12598	14663	13671	43.17
635	12648	14699	13714	43.66
636	12699	14734	13758	44.15
637	12752	14770	13802	44.65
638	12807	14805	13846	45.16
639	12861	14839	13892	45.68
640	12917	14871	13937	46.21
641	12975	14901	13983	46.74
642	13033	14931	14030	47.27
643	13093	14961	14077	47.82
644	13154	14992	14125	48.37
645	13217	15024	14174	48.93
646	13282	15056	14223	49.5
647	13348	15087	14272	50.07
648	13416	15116	14322	50.65
649	13485	15146	14373	51.24
650	13556	15175	14424	51.83
651	13629	15208	14476	52.43
652	13705	15238	14528	53.04
653	13784	15265	14581	53.66
654	13867	15296	14635	54.28
655	13955	15327	14689	54.91
656	14039	15356	14744	55.54
657	14125	15386	14800	56.19
658	14208	15417	14856	56.84
659	14294	15446	14913	57.49
660	14388	15477	14970	58.16
661	14481	15508	15028	58.83
662	14576	15539	15087	59.51
663	14676	15568	15147	60.19
664	14778	15598	15207	60.89
665	14874	15634	15268	61.58
666	14974	15656	15329	62.29
667	15063	15689	15392	63
668	15169	15726	15455	63.73
669	15267	15764	15518	64.45
670	15360	15804	15583	65.19
671	15453	15855	15648	65.93
672	15533	15912	15714	66.68
673	15601	15977	15781	NA
